origin_id,destination,total_cost,width
182,408,117.8712333,4
183,304,131.60306,4
184,213,81.0627041,3
184,278,155.1901395,7
185,186,13.3014593,4
185,262,101.62297,4
186,262,88.3215107,4
186,318,86.9610797,4
187,415,36.2627433,3
188,189,126.0062676,6
188,276,51.4855843,6
188,374,145.9693226,6
190,237,248.1003258,7
190,287,227.3641334,10
190,347,39.2414304,3
191,192,66.4472379,6
191,319,24.1111051,6
193,207,74.1673837,3
195,295,73.1738778,3
195,380,65.7744312,4
196,234,120.4704435,7
196,339,153.8751442,3
197,198,36.7926748,7
199,221,80.8601483,10
200,201,28.156392,7
200,214,233.6303386,7
201,204,63.2810524,7
201,390,13.5277239,5
202,203,110.3113335,5
202,217,30.0531273,7
203,324,292.8616418,10
203,368,50.7561938,3
204,266,260.5182394,7
205,226,9.2153856,10
205,349,2.7405526,8
207,360,75.8038746,4
208,353,89.610178,4
209,328,24.5264137,8
209,372,137.1703346,8
211,415,33.2701813,7
211,432,121.4455743,3
212,251,129.9018694,6
212,271,219.5854183,10
212,320,47.610761,10
213,214,46.901384,7
213,278,88.5419474,7
214,266,56.609719,7
215,260,79.7636671,5
216,217,184.51026,7
216,310,22.1647868,10
216,387,19.616221,6
217,284,219.1383558,7
218,219,48.700212,3
218,274,149.6474421,3
218,338,41.1384592,3
219,350,108.7331591,3
220,249,26.0007455,3
220,404,74.3516655,3
221,222,98.7524945,10
222,280,141.4461556,10
224,225,70.4964167,10
224,293,108.9758598,7
224,395,64.1334225,10
225,284,110.1257593,10
226,227,107.716075,10
226,378,46.4054412,10
227,367,146.6952629,4
227,399,138.4272333,3
228,254,214.0359687,8
228,386,62.2794832,5
229,302,577.2971357,4
229,330,280.4900528,4
230,308,73.5682106,4
231,241,26.916862,4
231,255,96.2649628,4
231,392,79.6072215,4
234,236,9.2460992,7
234,422,198.1298492,7
235,292,104.9679964,4
235,408,85.0136889,4
235,428,73.4363991,4
236,237,35.8790799,7
236,347,248.0634144,7
238,239,3.6115614,10
238,401,98.3259164,4
239,350,157.3342863,10
239,401,94.714355,4
240,241,5.7020102,10
240,367,77.5160843,10
241,244,6.1987802,4
241,255,71.0862457,4
242,341,132.096414,8
243,244,41.9363576,4
243,261,72.5623252,7
244,255,64.8874655,4
245,246,26.500493,4
245,400,145.256518,4
245,431,39.5481898,7
246,263,71.0693751,4
246,326,139.3950613,4
246,431,36.5325692,7
247,289,79.0393779,7
248,280,51.4411285,10
248,314,59.1822897,10
249,250,65.5424029,3
251,382,55.6597994,6
252,290,6.6248991,4
252,343,35.1513038,10
253,254,32.8742432,8
253,281,32.9034703,8
253,391,56.4723228,10
254,386,151.7564855,8
255,394,103.1035829,10
256,257,211.7876124,5
258,299,52.8872222,3
258,305,99.463048,3
259,260,91.4862275,3
259,285,56.4156392,3
259,373,15.2275989,4
262,397,81.2162085,4
264,267,39.2627163,4
264,270,33.8512026,3
264,346,17.2809721,3
265,277,159.4801636,10
265,294,55.4011963,10
267,268,40.9397702,4
268,270,23.3860881,4
268,288,155.9022197,9
269,270,31.2708691,3
269,346,22.3185745,8
270,288,179.2883078,9
270,346,16.5702305,3
271,294,102.183358,10
271,300,95.2604433,10
272,292,60.7996916,4
275,394,498.2895171,10
277,316,56.1657007,3
277,419,111.7776497,7
278,279,101.2687472,7
279,304,206.1504373,7
279,415,91.8811442,7
280,393,47.4576861,3
281,391,34.7314315,10
281,413,125.9500749,4
282,355,75.0495814,7
282,405,51.6999394,6
282,418,19.532636,7
283,403,38.095876,3
286,370,15.6850825,10
287,297,22.9056057,10
289,411,169.4553168,7
290,291,35.474401,4
291,343,6.4849887,4
291,413,28.4257171,10
294,300,6.9229147,10
295,296,80.8243752,2
296,356,15.4947249,3
296,425,62.4470433,2
297,402,133.7020361,7
298,414,11.4034618,2
299,342,86.359209,3
300,316,154.4025697,10
302,337,38.2954607,7
302,427,25.5174114,7
303,333,288.6948411,6
303,371,31.781488,10
303,402,164.5514458,10
306,307,149.2418644,10
306,308,39.3837014,10
307,424,141.4634903,10
308,315,44.3665859,6
309,310,59.3134774,10
309,368,212.256932,10
310,387,30.2461929,6
311,419,72.0308654,4
312,313,70.0335514,8
313,329,5.4895481,10
314,331,21.0111636,5
314,414,96.6489296,10
315,344,131.6353287,3
317,344,59.9339511,3
320,375,20.4415054,10
320,382,120.6944049,10
321,322,6.1626487,8
321,351,44.3906869,3
321,358,231.4686267,5
322,373,119.0044676,8
323,374,86.5373944,6
324,325,3.9656346,10
324,401,59.6449953,10
325,384,41.285043,10
325,421,97.6739464,10
326,380,135.3927475,4
326,400,58.3366639,4
327,391,90.0292852,4
329,363,41.9271421,7
330,389,33.8113788,7
331,379,21.3532251,10
331,393,22.1890789,3
332,414,30.5208645,7
332,425,19.5915388,7
335,344,104.7942733,3
336,337,19.4631265,7
336,361,305.13702,7
336,427,53.4153573,7
338,339,76.3156597,3
342,409,121.0846567,7
347,404,99.2113935,3
348,349,87.4681307,10
348,372,80.1303563,8
348,421,95.2068354,10
349,412,45.8978274,10
350,401,239.5609244,4
351,352,96.1150532,3
351,369,42.1974528,8
352,373,68.1111589,3
353,374,116.0556413,5
354,359,86.8481876,6
355,406,138.7343581,6
357,387,88.1873877,6
358,369,144.880487,5
359,407,38.4869072,3
360,382,63.1408971,6
361,362,35.173483,4
361,427,251.7216628,4
362,365,40.5131696,10
363,389,9.5106258,7
364,375,77.7008852,10
365,366,171.1367038,10
365,428,136.6975222,10
368,416,245.1727097,4
370,371,49.6014482,10
372,416,92.5944567,8
376,426,23.8168496,6
377,378,21.0776283,10
378,412,12.0348586,10
379,393,21.4936412,10
379,430,32.3383079,5
380,388,104.9475689,4
381,424,181.2224231,6
386,413,133.3158276,10
388,400,128.8449478,7
388,430,12.8454283,5
395,420,91.5723358,10
396,411,45.7213469,3
396,429,74.0250406,3
398,417,85.3267578,7
400,430,115.9995194,7
404,417,70.7475825,3
405,406,26.3612531,6
405,418,71.2325754,6
407,422,196.7574389,7
409,431,95.7304499,5
410,411,121.380492,3
410,429,74.5498626,4
416,421,81.2036497,4
418,419,87.8069339,7
261,426,564.1333589,6
